MODELE DE DEVIS NETTOYAGE PROFESSIONNEL,,,,,,
Fourni par Proprely - proprely.fr,,,,,,
Mode d'emploi : ouvrez ce fichier avec Excel ou Google Sheets puis enregistrez-le au format .xlsx,,,,,,
,,,,,,
SOCIETE EMETTRICE,,,,,,
Raison sociale,,,,,,
Adresse,,,,,,
Code postal / Ville,,,,,,
SIRET,,,,,,
N TVA intracommunautaire,,,,,,
Telephone,,,,,,
Email,,,,,,
,,,,,,
CLIENT,,,,,,
Raison sociale,,,,,,
Adresse de facturation,,,,,,
Code postal / Ville,,,,,,
SIRET,,,,,,
Contact / Fonction,,,,,,
Telephone,,,,,,
Email,,,,,,
,,,,,,
INFORMATIONS DEVIS,,,,,,
Numero de devis,,,,,,
Date d'emission,,,,,,
Date de validite,,,,,,
Reference site / chantier,,,,,,
Adresse du site,,,,,,
,,,,,,
DETAIL DE LA PRESTATION,,,,,,
Designation,Frequence,Nb passages/mois,Heures par passage,Taux horaire HT,Montant HT mensuel,Commentaire
Nettoyage courant bureaux,3 fois / semaine,13,2.5,28,910,Sols moquette aspires + sols durs laves + sanitaires + corbeilles
Nettoyage sanitaires,Quotidien,22,0.5,28,308,Desinfection + reapprovisionnement consommables
Vitrerie interieure,Mensuel,1,3,32,96,Vitres + chassis interieurs
Vitrerie exterieure,Trimestriel,0.33,4,38,50.16,Acces nacelle a prevoir si etage > 2
Decapage / metallisation sols,Annuel,0.083,8,42,27.93,Hors fournitures
Remise en etat / fin de chantier,Ponctuel,0,0,38,0,Sur devis specifique
,,,,,,
RECAPITULATIF FINANCIER,,,,,,
Total HT mensuel,,,,,1392.09,
Total HT annuel,,,,,16705.08,
TVA 20%,,,,,3341.02,
Total TTC annuel,,,,,20046.10,
,,,,,,
CONSOMMABLES & FOURNITURES,,,,,,
Designation,Quantite/mois,Prix unitaire HT,Total HT mensuel,,,
Sacs poubelle 100L,30,0.4,12,,,
Papier toilette rouleaux,40,0.45,18,,,
Essuie-mains plies,2000,0.018,36,,,
Savon mains 5L,2,12,24,,,
Total fournitures HT mensuel,,,90,,,
,,,,,,
CONDITIONS COMMERCIALES,,,,,,
Duree du contrat,,,12 mois renouvelable tacitement,,,
Preavis de resiliation,,,3 mois avant echeance,,,
Modalites de paiement,,,Mensuel a echoir / virement 30 jours,,,
Penalites de retard,,,Taux BCE + 10 points + indemnite forfaitaire 40 EUR,,,
Revision tarifaire,,,Annuelle selon indice propreté FEP,,,
Assurance responsabilite civile,,,Joindre attestation,,,
URSSAF a jour,,,Joindre attestation de vigilance,,,
,,,,,,
SIGNATURES,,,,,,
Fait a,,Le,,,,
Pour la societe emettrice,,Pour le client,,,,
Nom et fonction,,Nom et fonction,,,,
Signature et cachet,,Signature et cachet + mention Bon pour accord,,,,
,,,,,,
,,,,,,
Genere par Proprely - Le cockpit metier des societes de nettoyage,,,,,,
Pour automatiser vos devis : https://proprely.fr/fonctionnalites/devis-nettoyage,,,,,,
